year,ticker,company,sector,preliminary_posted,effective_date,list_kind
2016,PMBC,PACIFIC MERCANTILE BANCO,Financial Services,2016-06-10,2016-06-24,addition
2016,PIP,PHARMATHENE INC,Health Care,2016-06-10,2016-06-24,addition
2016,PJT,PJT PARTNERS INC,Financial Services,2016-06-10,2016-06-24,addition
2016,PLPM,PLANET PAYMENT INC,Financial Services,2016-06-10,2016-06-24,addition
2016,PFBI,PREMIER FINL BANCORP INC,Financial Services,2016-06-10,2016-06-24,addition
2016,PRMW,PRIMO WTR CORP,Consumer Staples,2016-06-10,2016-06-24,addition
2016,PTI,PROTEOSTASIS THERA INC,Health Care,2016-06-10,2016-06-24,addition
2016,PVBC,PROVIDENT BANCORP INC,Financial Services,2016-06-10,2016-06-24,addition
2016,PROV,PROVIDENT FINL HLDGS INC,Financial Services,2016-06-10,2016-06-24,addition
2016,ROIAK,RADIO ONE INC,Consumer Discretionary,2016-06-10,2016-06-24,addition
2016,RSYS,RADISYS CORP,Technology,2016-06-10,2016-06-24,addition
2016,RETA,REATE PHARMACEUTICALS,Health Care,2016-06-10,2016-06-24,addition
2016,RLH,RED LION HOTELS CORP,Consumer Discretionary,2016-06-10,2016-06-24,addition
2016,RRR,RED ROCKS RESORTS INC,Consumer Discretionary,2016-06-10,2016-06-24,addition
2016,FRBK,REPUBLIC FIRST BANCORP,Financial Services,2016-06-10,2016-06-24,addition
2016,NAME,RIGHTSIDE GROUP LTD,Technology,2016-06-10,2016-06-24,addition
2016,RST,ROSETTA STONE INC,Consumer Discretionary,2016-06-10,2016-06-24,addition
2016,RUSHB,RUSH ENTERPRISES INC,Producer Durables,2016-06-10,2016-06-24,addition
2016,SALM,SALEM MEDIA GROUP INC,Consumer Discretionary,2016-06-10,2016-06-24,addition
2016,SHOS,SEARS HOMETOWN OUTLET,Consumer Discretionary,2016-06-10,2016-06-24,addition
2016,SCWX,SECUREWORKS CORP,Technology,2016-06-10,2016-06-24,addition
2016,SENS,SENSEONICS HOLDINGS INC,Health Care,2016-06-10,2016-06-24,addition
2016,SRG,SERITAGE GROWTH PROP,Financial Services,2016-06-10,2016-06-24,addition
2016,SHBI,SHORE BANCSHARES INC,Financial Services,2016-06-10,2016-06-24,addition
2016,SIFI,SI FINANCIAL GROUP,Financial Services,2016-06-10,2016-06-24,addition
2016,SILC,SILICOM LTD,Technology,2016-06-10,2016-06-24,addition
2016,SAMG,SILVERCREST ASSET MNGMT,Financial Services,2016-06-10,2016-06-24,addition
2016,SITE,SITEONE LANDSCAPE SUPPLY,Consumer Discretionary,2016-06-10,2016-06-24,addition
2016,SFST,SOUTHERN FIRST BANCSHARE,Financial Services,2016-06-10,2016-06-24,addition
2016,SMBC,SOUTHERN MO BANCORP INC,Financial Services,2016-06-10,2016-06-24,addition
2016,SONA,SOUTHERN NATL BANCORP,Financial Services,2016-06-10,2016-06-24,addition
2016,SPAR,SPARTAN MOTORS INC,Producer Durables,2016-06-10,2016-06-24,addition
2016,STRS,STRATUS PPTYS INC,Financial Services,2016-06-10,2016-06-24,addition
2016,SMMF,SUMMIT FINANCIAL GROUP,Financial Services,2016-06-10,2016-06-24,addition
2016,STS,SUPREME INDS INC,Producer Durables,2016-06-10,2016-06-24,addition
2016,SSRG,SYMMETRY SURGICAL INC,Health Care,2016-06-10,2016-06-24,addition
2016,SNDX,SYNDAX PHARMACEUTICALS,Health Care,2016-06-10,2016-06-24,addition
2016,SYN,SYNTHETIC BIOLOGICS INC,Health Care,2016-06-10,2016-06-24,addition
2016,TIER,TIER REIT INC,Financial Services,2016-06-10,2016-06-24,addition
2016,TTNP,TITAN PHARMACEUTICALS,Health Care,2016-06-10,2016-06-24,addition
2016,RIG,TRANSOCEAN LTD,Energy,2016-06-10,2016-06-24,addition
2016,TPHS,TRINITY PLACE HOLDINGS,Financial Services,2016-06-10,2016-06-24,addition
2016,TPB,TURNING POINT BRANDS INC,Consumer Staples,2016-06-10,2016-06-24,addition
2016,UCP,UCP INC,Financial Services,2016-06-10,2016-06-24,addition
2016,UFPT,UFP TECHNOLOGIES INC,Materials & Processing,2016-06-10,2016-06-24,addition
2016,UNB,UNION BANKSHARES INC,Financial Services,2016-06-10,2016-06-24,addition
2016,UFAB,UNIQUE FABRICATING INC,Consumer Discretionary,2016-06-10,2016-06-24,addition
2016,USFD,US FOODS HOLDING CORP,Consumer Staples,2016-06-10,2016-06-24,addition
2016,USAT,USA TECHNOLOGIES INC,Technology,2016-06-10,2016-06-24,addition
2016,USMD,USMD HLDGS INC,Health Care,2016-06-10,2016-06-24,addition
2016,VALU,VALUE LINE INC,Financial Services,2016-06-10,2016-06-24,addition
2016,VBTX,VERITEX HOLDINGS,Financial Services,2016-06-10,2016-06-24,addition
2016,VRAY,VIEWRAY INC,Health Care,2016-06-10,2016-06-24,addition
2016,WFBI,WASHINGTONFIRST BANK INC,Financial Services,2016-06-10,2016-06-24,addition
2016,WVE,WAVE LIFE SCIENCES LTD,Health Care,2016-06-10,2016-06-24,addition
2016,WFD,WESTFIELD FINANCIAL INC,Financial Services,2016-06-10,2016-06-24,addition
2016,WG,WILLBROS GROUP INC,Energy,2016-06-10,2016-06-24,addition
2016,WLFC,WILLIS LEASE FINANCE,Producer Durables,2016-06-10,2016-06-24,addition
2016,WINS,WINS FINANCE HOLDINGS,Financial Services,2016-06-10,2016-06-24,addition
2016,WMIH,WMIH CORP,Financial Services,2016-06-10,2016-06-24,addition
2016,WKHS,WORKHORSE GROUP INC,Producer Durables,2016-06-10,2016-06-24,addition
2016,YCB,YOUR CMNTY BANKSHARES,Financial Services,2016-06-10,2016-06-24,addition
2017,ABEO,ABEONA THERAPEUTICS INC,Health Care,2017-05-31,2017-06-23,addition
2017,AKAO,ACHAOGEN INC,Health Care,2017-05-31,2017-06-23,addition
2017,ADES,ADVANCED EMISSIONS SLTNS,Producer Durables,2017-05-31,2017-06-23,addition
2017,AKTS,AKOUSTIS TECHNOLOGIES,Technology,2017-05-31,2017-06-23,addition
2017,AYX,ALTERYX INC,Technology,2017-05-31,2017-06-23,addition
2017,ATRS,ANTARES PHARMA INC,Health Care,2017-05-31,2017-06-23,addition
2017,AREX,APPROACH RESOURCES INC,Energy,2017-05-31,2017-06-23,addition
2017,ARCH,ARCH COAL INC,Energy,2017-05-31,2017-06-23,addition
2017,ARD,ARDAGH GROUP SA,Materials & Processing,2017-05-31,2017-06-23,addition
2017,ASBB,ASB BANCORP INC NC,Financial Services,2017-05-31,2017-06-23,addition
2017,ASMB,ASSEMBLY BIOSCIENCES INC,Health Care,2017-05-31,2017-06-23,addition
2017,AXTI,AXT INC,Technology,2017-05-31,2017-06-23,addition
2017,BOCH,BANK COMM HLDGS,Financial Services,2017-05-31,2017-06-23,addition
2017,BAS,BASIC ENERGY SERVICES,Energy,2017-05-31,2017-06-23,addition
2017,BCBP,BCB BANCORP INC,Financial Services,2017-05-31,2017-06-23,addition
2017,BBGI,BEASLEY BROADCAST GROUP,Consumer Discretionary,2017-05-31,2017-06-23,addition
2017,BGSF,BG STAFFING INC,Producer Durables,2017-05-31,2017-06-23,addition
2017,BHVN,BIOHAVEN PHARMACEUTICAL,Health Care,2017-05-31,2017-06-23,addition
2017,BDE,BLACK DIAMOND INC,Consumer Discretionary,2017-05-31,2017-06-23,addition
2017,BCEI,BONANZA CREEK ENER INC,Energy,2017-05-31,2017-06-23,addition
2017,CJ,C&J ENERGY SERVICES INC,Energy,2017-05-31,2017-06-23,addition
2017,CADE,CADENCE BANCORP,Financial Services,2017-05-31,2017-06-23,addition
2017,CDZI,CADIZ INC,Consumer Staples,2017-05-31,2017-06-23,addition
2017,CALA,CALITHERA BIOSCIENCES,Health Care,2017-05-31,2017-06-23,addition
2017,CCN,CARDCONNECT CORP,Financial Services,2017-05-31,2017-06-23,addition
2017,CVNA,CARVANA CO,Consumer Discretionary,2017-05-31,2017-06-23,addition
2017,CASC,CASCADIAN THERAPEUTICS,Health Care,2017-05-31,2017-06-23,addition
2017,ROX,CASTLE BRANDS INC,Consumer Staples,2017-05-31,2017-06-23,addition
2017,CPRX,CATALYST PHARMACEUTICALS,Health Care,2017-05-31,2017-06-23,addition
2017,CDEV,CENTENNIAL RESOURCE DEV,Energy,2017-05-31,2017-06-23,addition
2017,CHMI,CHERRY HILL MORTGAGE INV,Financial Services,2017-05-31,2017-06-23,addition
2017,CIVB,CIVISTA BANCSHARES INC,Financial Services,2017-05-31,2017-06-23,addition
2017,CLD,CLOUD PEAK ENERGY INC,Energy,2017-05-31,2017-06-23,addition
2017,CLDR,CLOUDERA INC,Technology,2017-05-31,2017-06-23,addition
2017,CUBN,COMMERCE UNION BANCSHARE,Financial Services,2017-05-31,2017-06-23,addition
2017,CVGI,COMMERCIAL VEH GROUP INC,Producer Durables,2017-05-31,2017-06-23,addition
2017,ESXB,COMMUNITY BANKERS TRUST,Financial Services,2017-05-31,2017-06-23,addition
2017,TCFC,COMMUNITY FINL CORP MD,Financial Services,2017-05-31,2017-06-23,addition
2017,CNAT,CONATUS PHARMACEUTICALS,Health Care,2017-05-31,2017-06-23,addition
2017,CRBP,CORBUS PHARMACEUTICALS,Health Care,2017-05-31,2017-06-23,addition
2017,CMT,CORE MOLDING TECHN,Materials & Processing,2017-05-31,2017-06-23,addition
2017,CORI,CORIUM INTL INC,Health Care,2017-05-31,2017-06-23,addition
2017,CYBE,CYBEROPTICS CORP,Technology,2017-05-31,2017-06-23,addition
2017,DSKE,DASEKE INC,Producer Durables,2017-05-31,2017-06-23,addition
2017,DNBF,DNB FINL CORP,Financial Services,2017-05-31,2017-06-23,addition
2017,DS,DRIVE SHACK,Consumer Discretionary,2017-05-31,2017-06-23,addition
2017,EGLE,EAGLE BULK SHIPPING INC,Producer Durables,2017-05-31,2017-06-23,addition
2017,EML,EASTERN CO,Materials & Processing,2017-05-31,2017-06-23,addition
2017,ELVT,ELEVATE CREDIT INC,Financial Services,2017-05-31,2017-06-23,addition
2017,EARN,ELLINGTON RESIDENTIAL,Financial Services,2017-05-31,2017-06-23,addition
2017,EEX,EMERALD EXPOSITIONS,Consumer Discretionary,2017-05-31,2017-06-23,addition
2017,EXXI,ENERGY XXI GULF COAST,Energy,2017-05-31,2017-06-23,addition
2017,ENFC,ENTEGRA FINANCIAL CORP,Financial Services,2017-05-31,2017-06-23,addition
2017,EVI,ENVIROSTAR INC,Producer Durables,2017-05-31,2017-06-23,addition
2017,EVBN,EVANS BANCORP INC,Financial Services,2017-05-31,2017-06-23,addition
2017,EVRI,EVERI HOLDINGS INC,Financial Services,2017-05-31,2017-06-23,addition
2017,FMAO,FARMERS & MERCHANTS BNCP,Financial Services,2017-05-31,2017-06-23,addition
2017,FATE,FATE THERAPEUTICS INC,Health Care,2017-05-31,2017-06-23,addition
2017,FBMS,FIRST BANCSHARES INC MS,Financial Services,2017-05-31,2017-06-23,addition
2017,FGBI,FIRST GUARANTY BANCSHARE,Financial Services,2017-05-31,2017-06-23,addition
2017,FND,FLOOR & DECOR HOLDINGS,Consumer Discretionary,2017-05-31,2017-06-23,addition
2017,FNBG,FNB BANCORP,Financial Services,2017-05-31,2017-06-23,addition
2017,FONR,FONAR CORP,Health Care,2017-05-31,2017-06-23,addition
2017,FSTR,FOSTER L B CO,Materials & Processing,2017-05-31,2017-06-23,addition
2017,GDI,GARDNER DENVER HOLDINGS,Producer Durables,2017-05-31,2017-06-23,addition
2017,GST,GASTAR EXPL INC,Energy,2017-05-31,2017-06-23,addition
2017,GNK,GENCO SHIPPING & TRADING,Producer Durables,2017-05-31,2017-06-23,addition
2017,GNCA,GENOCEA BIOSCIENCES INC,Health Care,2017-05-31,2017-06-23,addition
2017,GSIT,GSI TECHNOLOGY,Technology,2017-05-31,2017-06-23,addition
2017,GNTY,GUARANTY BANCSHARES INC,Financial Services,2017-05-31,2017-06-23,addition
2017,GIFI,GULF ISLAND FABRICATION,Energy,2017-05-31,2017-06-23,addition
2017,HK,HALCON RESOURCES CORP,Energy,2017-05-31,2017-06-23,addition
2017,HNRG,HALLADOR ENERGY CO,Energy,2017-05-31,2017-06-23,addition
2017,HLNE,HAMILTON LANE INC,Financial Services,2017-05-31,2017-06-23,addition
2017,HIIQ,HEALTH INS INNOVATIONS,Financial Services,2017-05-31,2017-06-23,addition
2017,TWNK,HOSTESS BRANDS INC,Consumer Staples,2017-05-31,2017-06-23,addition
2017,HBMD,HOWARD BANCORP INC,Financial Services,2017-05-31,2017-06-23,addition
2017,HDSN,HUDSON TECHNOLOGIES INC,Producer Durables,2017-05-31,2017-06-23,addition
2017,HBP,HUTTIG BUILDING PRODUCTS,Materials & Processing,2017-05-31,2017-06-23,addition
2017,INFO,IHS MARKIT LTD,Technology,2017-05-31,2017-06-23,addition
2017,INSE,INSPIRED ENTERTAINMENT,Consumer Discretionary,2017-05-31,2017-06-23,addition
2017,INAP,INTERNAP CORPORATION,Technology,2017-05-31,2017-06-23,addition
2017,IVAC,INTEVAC INC,Technology,2017-05-31,2017-06-23,addition
2017,IPI,INTREPID POTASH INC,Materials & Processing,2017-05-31,2017-06-23,addition
2017,ISTR,INVESTAR HOLDING CORP,Financial Services,2017-05-31,2017-06-23,addition
2017,ITI,ITERIS INC,Technology,2017-05-31,2017-06-23,addition
2017,JCAP,JERNIGAN CAP INC,Financial Services,2017-05-31,2017-06-23,addition
2017,JILL,JJILL INC,Consumer Discretionary,2017-05-31,2017-06-23,addition
2017,KEM,KEMET CORP,Technology,2017-05-31,2017-06-23,addition
2017,KEG,KEY ENERGY SERVICES INC,Energy,2017-05-31,2017-06-23,addition
2017,KIN,KINDRED BIOSCIENCES INC,Health Care,2017-05-31,2017-06-23,addition
2017,KINS,KINGSTONE COS INC,Financial Services,2017-05-31,2017-06-23,addition
2017,KREF,KKR REAL ESTATE FINANCE,Financial Services,2017-05-31,2017-06-23,addition
2017,KLDX,KLONDEX MINES LTD,Materials & Processing,2017-05-31,2017-06-23,addition
2017,KURA,KURA ONCOLOGY INC,Health Care,2017-05-31,2017-06-23,addition
2017,LNTH,LANTHEUS HOLDINGS INC,Health Care,2017-05-31,2017-06-23,addition
2017,LFGR,LEAF GROUP LTD,Technology,2017-05-31,2017-06-23,addition
2017,LLEX,LILIS ENERGY INC,Energy,2017-05-31,2017-06-23,addition
2017,LIVN,LIVANOVA PLC,Health Care,2017-05-31,2017-06-23,addition
2017,LMIA,LMI AEROSPACE INC,Producer Durables,2017-05-31,2017-06-23,addition
2017,MDGL,MADRIGAL PHARMACEUTICALS,Health Care,2017-05-31,2017-06-23,addition
2017,MLVF,MALVERN BANCORP INC,Financial Services,2017-05-31,2017-06-23,addition
2017,MTNB,MATINAS BIOPHARMA HLDG,Health Care,2017-05-31,2017-06-23,addition
2017,MLP,MAUI LAND & PINEAPPLE CO,Financial Services,2017-05-31,2017-06-23,addition
2017,MVIS,MICROVISION INC,Technology,2017-05-31,2017-06-23,addition
2017,MBCN,MIDDLEFIELD BANC CORP,Financial Services,2017-05-31,2017-06-23,addition
2017,MSL,MIDSOUTH BANCORP INC,Financial Services,2017-05-31,2017-06-23,addition
2017,MPO,MIDSTATES PETROLEUM CO,Energy,2017-05-31,2017-06-23,addition
2017,MGEN,MIRAGEN THERAPEUTICS,Health Care,2017-05-31,2017-06-23,addition
2017,MULE,MULESOFT INC,Technology,2017-05-31,2017-06-23,addition
2017,NSSC,NAPCO SEC TECHNOLOGIES,Producer Durables,2017-05-31,2017-06-23,addition
2017,NM,NAVIOS MARITIME HOLDINGS,Producer Durables,2017-05-31,2017-06-23,addition
2017,NCSM,NCS MULTISTAGE HOLD,Energy,2017-05-31,2017-06-23,addition
2017,NXEO,NEXEO SOLUTIONS INC,Materials & Processing,2017-05-31,2017-06-23,addition
2017,NODK,NI HOLDINGS INC,Financial Services,2017-05-31,2017-06-23,addition
2017,NBN,NORTHEAST BANCORP,Financial Services,2017-05-31,2017-06-23,addition
2017,NWPX,NORTHWEST PIPE CO,Materials & Processing,2017-05-31,2017-06-23,addition
2017,NWFL,NORWOOD FINANCIAL CORP,Financial Services,2017-05-31,2017-06-23,addition
2017,NVLN,NOVELION THERAPEUTICS,Health Care,2017-05-31,2017-06-23,addition
2017,NXPI,NXP SEMICONDUCTORS NV,Technology,2017-05-31,2017-06-23,addition
2017,NYMX,NYMOX PHARMACEUTICAL,Health Care,2017-05-31,2017-06-23,addition
2017,OFED,OCONEE FEDERAL FINANCIAL,Financial Services,2017-05-31,2017-06-23,addition
2017,OVBC,OHIO VY BANC CORP,Financial Services,2017-05-31,2017-06-23,addition
2017,OKTA,OKTA INC,Technology,2017-05-31,2017-06-23,addition
2017,OPOF,OLD POINT FINL CORP,Financial Services,2017-05-31,2017-06-23,addition
2017,OMNT,OMINTO INC,Technology,2017-05-31,2017-06-23,addition
2017,OCX,ONCOCYTE CORPORATION,Health Care,2017-05-31,2017-06-23,addition
2017,OOMA,OOMA INC,Technology,2017-05-31,2017-06-23,addition
